,id,Stagione,Nome,Età,Presenze,Ruolo Anno Successivo,Quotazione Iniziale Anno Successivo,Quotazione Iniziale Mantra Anno Successivo,Voto Media,Voto Media Storica,Fantavoto Media,Fantavoto Media Storica,Fantavoto Media Reale Anno Successivo,Fantavoto Media Predetta Anno Successivo,Differenza Predetta Fantavoto Media Anno Successivo,Differenza Reale Fantavoto Media Anno Successivo,Errore Predizione
24,4,2021.0,Sportiello,29.0,5,P,1.0,1.0,6.3,6.114583333333333,5.7,5.128472222222222,4.866666666666666,5.48791762387752,-0.21208237612248038,-0.8333333333333339,0.6212509572108535
231,41,2021.0,Mirante,38.0,0,P,1.0,1.0,6.15625,6.280172413793103,,5.396551724137931,7.0,5.107965972840973,,,-1.8920340271590268
240,42,2021.0,Sarr M.,24.0,0,P,1.0,1.0,6.15625,6.191489361702128,,5.176470588235294,5.25,4.185582881425367,,,-1.0644171185746334
789,133,2021.0,Skorupski,30.0,36,P,11.0,11.0,6.236111111111111,6.162621359223301,5.125,4.929611650485437,5.162162162162162,5.043166014317953,-0.0818339856820467,0.03716216216216228,-0.11899614784420898
969,159,2021.0,Sepe,30.0,16,P,8.0,8.0,6.21875,6.129032258064516,4.71875,4.637096774193548,5.323529411764706,5.1875886477441915,0.4688386477441915,0.6047794117647056,-0.13594076402051414
978,160,2021.0,Tatarusanu,35.0,6,P,1.0,1.0,6.0,6.037974683544304,5.0,5.113924050632911,4.875,5.409146072318063,0.4091460723180633,-0.125,0.5341460723180633
1356,218,2021.0,Perin,28.0,5,P,1.0,1.0,6.1,6.2172413793103445,4.9,5.241379310344827,6.590909090909091,5.37967404935783,0.47967404935783,1.6909090909090905,-1.2112350415512605
1374,220,2021.0,Ujkani,33.0,0,P,1.0,1.0,6.15625,6.25,,4.25,4.5,4.747539718451482,,,0.24753971845148204
1563,250,2021.0,Handanovic,37.0,37,P,16.0,16.0,6.162162162162162,6.209302325581396,5.743243243243243,5.684108527131783,5.178571428571429,5.525160233779994,-0.21808300946324888,-0.5646718146718142,0.3465888052085653
2040,318,2021.0,Marchetti,38.0,0,P,1.0,1.0,6.15625,6.157407407407407,,5.148148148148148,3.5,4.195868149824033,,,0.6958681498240331
