,id,Nome,Età,Presenze,Ruolo Anno Successivo,Quotazione Iniziale Anno Successivo,Quotazione Iniziale Mantra Anno Successivo,Fantavoto Media,Fantavoto Media Reale Anno Successivo,Fantavoto Media Predetta Anno Successivo,Differenza Predetta Fantavoto Media Anno Successivo,Differenza Reale Fantavoto Media Anno Successivo,Errore Predizione
16,4,Sportiello,29.0,5.0,P,1.0,1.0,5.7,4.866666666666666,5.696156128440831,-0.0038438715591695427,-0.8333333333333339,0.8294894617741644
132,41,Mirante,38.0,0.0,P,1.0,1.0,,7.0,5.04710062390575,,,-1.9528993760942503
137,42,Sarr M,24.0,0.0,P,1.0,1.0,,5.25,4.014447417179508,,,-1.2355525828204916
419,133,Skorupski,30.0,36.0,P,11.0,11.0,5.125,5.162162162162162,5.086026600666566,-0.038973399333434244,0.03716216216216228,-0.07613556149559653
539,159,Sepe,30.0,16.0,P,8.0,8.0,4.71875,5.323529411764706,5.205783899993779,0.48703389999377933,0.6047794117647056,-0.11774551177092629
546,160,Tatarusanu,35.0,6.0,P,1.0,1.0,5.0,4.875,5.030373852691945,0.03037385269194459,-0.125,0.1553738526919446
729,218,Perin,28.0,5.0,P,1.0,1.0,4.9,6.590909090909091,5.147084686231514,0.24708468623151347,1.6909090909090905,-1.443824404677577
735,220,Ujkani,33.0,0.0,P,1.0,1.0,,4.5,4.3906546653144,,,-0.10934533468560037
857,250,Handanovic,37.0,37.0,P,16.0,16.0,5.743243243243243,5.178571428571429,5.586965255587769,-0.15627798765547407,-0.5646718146718142,0.4083938270163401
1160,318,Marchetti,38.0,0.0,P,1.0,1.0,,3.5,4.2065456349206345,,,0.7065456349206345
1682,453,Szczesny,31.0,33.0,P,16.0,16.0,5.848484848484849,5.714285714285714,5.631548030728939,-0.21693681775590967,-0.1341991341991342,-0.08273768355677547
1911,509,Consigli,34.0,37.0,P,11.0,11.0,4.702702702702703,4.728571428571429,4.876360095123964,0.17365739242126121,0.025868725868726017,0.1477886665525352
1920,510,Pegolo,40.0,1.0,P,1.0,1.0,3.0,4.75,4.95687007630729,1.9568700763072897,1.75,0.2068700763072897
1922,511,Perilli,26.0,0.0,P,1.0,1.0,,7.5,4.723338327867196,,,-2.7766616721328043
2188,572,Meret,24.0,7.0,P,14.0,14.0,5.428571428571429,6.029411764705882,5.385647777995034,-0.04292365057639458,0.6008403361344534,-0.643763986710848
2305,610,Gollini,26.0,0.0,P,12.0,12.0,,5.785714285714286,4.983553716436316,,,-0.8021605692779694
2536,673,Perisan,23.0,0.0,P,1.0,1.0,,5.214285714285714,3.580094405312839,,,-1.6341913089728752
2674,761,Audero,24.0,29.0,P,10.0,10.0,4.741379310344827,5.04,5.074151182122225,0.332771871777398,0.29862068965517263,0.03415118212222534
2817,799,Bardi,29.0,2.0,P,1.0,1.0,5.75,7.0,3.9715598683093476,-1.7784401316906524,1.25,-3.0284401316906524
2895,1843,Radu I,24.0,1.0,P,0.0,0.0,2.0,4.111111111111111,6.445690081345217,4.445690081345217,2.1111111111111107,2.334578970234106
3042,1889,Cordaz,38.0,0.0,P,1.0,1.0,,8.0,4.118657187758608,,,-3.8813428122413924
3104,1917,Dragowski,23.0,7.0,P,7.0,7.0,5.714285714285714,4.985294117647059,5.2792107558013655,-0.43507495848434896,-0.7289915966386555,0.2939166381543066
3176,1947,Fiorillo,31.0,1.0,P,1.0,1.0,1.0,4.0,4.8540523951181225,3.8540523951181225,3.0,0.8540523951181225
3662,2134,Falcone,26.0,10.0,P,5.0,5.0,5.25,5.25,5.245737412907123,-0.00426258709287719,0.0,-0.00426258709287719
3775,2170,Milinkovic-Savic V.,24.0,27.0,P,1.0,1.0,5.0,5.184210526315789,4.977581188708274,-0.022418811291726293,0.18421052631578938,-0.20662933760751567
3807,2178,Cragno,27.0,0.0,P,11.0,11.0,,2.0,4.620388277423489,,,2.620388277423489
3814,2179,Sirigu,34.0,37.0,P,1.0,1.0,4.905405405405405,7.5,5.149130728579098,0.24372532317369267,2.5945945945945947,-2.350869271420902
3927,2211,Silvestri,30.0,35.0,P,10.0,10.0,4.928571428571429,5.2368421052631575,4.951471974567486,0.022900545996057176,0.3082706766917287,-0.2853701306956715
4074,2294,Cerofolini,22.0,0.0,P,1.0,1.0,,5.9,4.246750871263169,,,-1.6532491287368316
4089,2297,Rossi F,30.0,1.0,P,1.0,1.0,5.0,7.0,5.259446360166009,0.25944636016600864,2.0,-1.7405536398339914
4628,2792,Musso,27.0,33.0,P,13.0,13.0,5.03030303030303,5.229166666666667,5.106520697156085,0.07621766685305431,0.1988636363636367,-0.12264596951058238
4668,2814,Provedel,27.0,31.0,P,7.0,7.0,4.709677419354839,6.0131578947368425,4.955417044187552,0.24573962483271306,1.3034804753820035,-1.0577408505492905
4674,2815,Terracciano,31.0,32.0,P,1.0,1.0,5.0,4.948275862068965,4.968660285204981,-0.031339714795018736,-0.0517241379310347,0.02038442313601596
4875,4270,Rui Patricio,33.0,38.0,P,14.0,14.0,5.4868421052631575,5.442857142857143,5.098122063730166,-0.38872004153299144,-0.04398496240601446,-0.344735079126977
4898,4312,Maignan,26.0,32.0,P,18.0,18.0,6.15625,5.704545454545454,5.574191006689932,-0.5820589933100679,-0.45170454545454586,-0.13035444785552208
5163,4431,Carnesecchi,21.0,0.0,P,1.0,1.0,,4.777777777777778,4.774220576343476,,,-0.0035572014343019376
5325,4518,Russo A,27.0,0.0,P,1.0,1.0,,2.0,3.4285487012987006,,,1.4285487012987006
5575,4957,Montipo',25.0,34.0,P,11.0,11.0,4.8088235294117645,4.797297297297297,5.0338404671891634,0.22501693777739895,-0.011526232114467128,0.23654316989186608
5593,4964,Vicario,24.0,38.0,P,9.0,9.0,4.907894736842105,5.419354838709677,4.765529455330225,-0.14236528151188033,0.5114601018675717,-0.6538253833794521
5620,4977,Ravaglia,32.0,1.0,P,1.0,1.0,5.0,3.5555555555555554,5.054938645222051,0.05493864522205083,-1.4444444444444446,1.4993830896664955
5687,5005,Zoet,30.0,7.0,P,1.0,1.0,3.5,5.7,5.190976306784416,1.6909763067844157,2.2,-0.5090236932155845
6093,5528,Zovko,19.0,1.0,P,1.0,1.0,7.0,3.5,5.148953253302958,-1.8510467466970422,-3.5,1.6489532533029578
6305,5830,Onana,25.0,0.0,P,1.0,1.0,,5.375,4.1823263164089495,,,-1.1926736835910505
6309,5832,Luis Maximiano,22.0,0.0,P,12.0,12.0,,4.0,5.0729830747506615,,,1.0729830747506615
6327,5841,Svilar,21.0,0.0,P,1.0,1.0,,5.166666666666667,4.529662590731113,,,-0.637004075935554
6377,5876,Di Gregorio,24.0,0.0,P,1.0,1.0,,5.256756756756757,5.031550741444786,,,-0.22520601531197126
6492,6120,Ochoa,36.0,0.0,P,2.0,2.0,,5.15,4.773149669869417,,,-0.37685033013058344
6497,6135,Turk,17.0,0.0,P,1.0,1.0,,4.125,4.737837875525376,,,0.6128378755253756
31,11,Conti,27.0,8.0,D,3.0,3.0,6.3125,6.0,5.962345199853716,-0.3501548001462842,-0.3125,-0.037654800146284195
147,45,Ferrari A.,27.0,23.0,D,5.0,5.0,5.760869565217392,5.607142857142857,5.80153342461448,0.040663859397088054,-0.1537267080745348,0.19439056747162287
163,49,Masina,27.0,0.0,D,6.0,7.0,,6.285714285714286,5.882695704197887,,,-0.4030185815163989
180,52,Oikonomou,28.0,0.0,D,2.0,2.0,,5.583333333333333,5.799590636659454,,,0.21625730332612125
248,76,Romagnoli S,31.0,19.0,D,3.0,3.0,6.026315789473684,5.785714285714286,5.78135413051519,-0.24496165895849398,-0.24060150375939848,-0.0043601551990954945
268,84,Marrone,31.0,0.0,D,4.0,4.0,,5.75,5.796241264963313,,,0.04624126496331282
373,118,Radovanovic,32.0,14.0,D,0.0,0.0,5.964285714285714,5.25,5.86178482650348,-0.10250088778223443,-0.7142857142857144,0.61178482650348
439,139,Dermaku,29.0,0.0,D,4.0,4.0,,5.5,5.7929477978966695,,,0.29294779789666947
448,140,Hysaj,27.0,29.0,D,6.0,6.0,5.706896551724138,6.044117647058823,5.892287749673149,0.18539119794901104,0.3372210953346855,-0.15182989738567443
464,142,Mario Rui,30.0,34.0,D,9.0,9.0,6.073529411764706,6.25,6.073702817282407,0.00017340551770139712,0.17647058823529438,-0.17629718271759298
473,144,Tonelli,31.0,14.0,D,1.0,1.0,5.25,5.5,5.835340731227339,0.5853407312273387,0.25,0.33534073122733865
758,226,Izzo,29.0,11.0,D,3.0,3.0,5.681818181818182,5.966666666666667,5.803443960881535,0.12162577906335326,0.28484848484848513,-0.16322270578513187
821,244,Ghiglione,24.0,13.0,D,5.0,5.0,5.653846153846154,6.0,5.889404114499614,0.2355579606534599,0.3461538461538458,-0.1105958855003859
869,252,Biraghi,28.0,37.0,D,13.0,13.0,6.108108108108108,6.181818181818182,6.234955587001671,0.12684747889356274,0.07371007371007376,0.05313740518348897
878,253,D'Ambrosio,32.0,20.0,D,8.0,9.0,6.325,5.966666666666667,5.986742675057975,-0.3382573249420249,-0.3583333333333334,0.02007600839130852
886,254,Dimarco,23.0,32.0,D,8.0,9.0,6.265625,6.696969696969697,6.2449795171288764,-0.020645482871123555,0.43134469696969724,-0.4519901798408208
898,256,Juan Jesus,30.0,21.0,D,7.0,7.0,6.0476190476190474,6.2,5.880993707733838,-0.16662533988520956,0.15238095238095273,-0.3190062922661623
910,259,Murillo,29.0,0.0,D,3.0,3.0,,5.375,5.832033263985023,,,0.4570332639850232
923,261,Ranocchia,33.0,6.0,D,0.0,0.0,5.833333333333333,5.5,5.8528788442309505,0.01954551089761747,-0.33333333333333304,0.3528788442309505
963,272,Medel,33.0,33.0,D,7.0,7.0,5.712121212121212,5.896551724137931,5.840686663370314,0.12856545124910213,0.18443051201671867,-0.05586506076761655
1020,286,Bonucci,34.0,24.0,D,15.0,15.0,6.75,6.0,6.2180766614997625,-0.5319233385002375,-0.75,0.21807666149976246
1054,294,Rugani,27.0,12.0,D,5.0,5.0,5.875,6.0,5.805592970295537,-0.06940702970446289,0.125,-0.19440702970446289
1175,322,De Vrij,29.0,30.0,D,10.0,10.0,5.7,5.981481481481482,6.006153941756111,0.30615394175611055,0.28148148148148167,0.024672460274628882
1199,327,Patric,28.0,24.0,D,5.0,5.0,5.75,6.083333333333333,5.858103950015161,0.1081039500151606,0.33333333333333304,-0.22522938331817244
1209,329,Radu,34.0,10.0,D,2.0,2.0,5.55,6.0,5.842537003140662,0.2925370031406622,0.4500000000000002,-0.15746299685933796
1312,357,Calabria,24.0,26.0,D,13.0,13.0,6.423076923076923,6.08,6.153952896943522,-0.2691240261334009,-0.3430769230769233,0.07395289694352236
1321,358,De Sciglio,28.0,20.0,D,6.0,7.0,6.2,5.764705882352941,5.993014586039277,-0.206985413960723,-0.43529411764705905,0.22830870368633605
1467,393,Luperto,24.0,24.0,D,5.0,6.0,5.645833333333333,6.013888888888889,5.8120907375669075,0.1662574042335745,0.36805555555555625,-0.20179815132198176
1712,460,Romagnoli,26.0,19.0,D,11.0,11.0,6.0,6.294117647058823,6.029874599164959,0.029874599164958937,0.2941176470588234,-0.26424304789386444
1730,464,Florenzi,30.0,24.0,D,7.0,7.0,6.3125,5.833333333333333,6.0541816752761255,-0.2583183247238745,-0.47916666666666696,0.22084834194279246
1829,487,De Silvestri,33.0,31.0,D,9.0,9.0,6.17741935483871,5.966666666666667,6.0042354926931285,-0.17318386214558146,-0.21075268817204318,0.03756882602646172
1933,513,Acerbi,33.0,30.0,D,8.0,8.0,6.3,5.967741935483871,5.990254480775466,-0.30974551922453397,-0.3322580645161288,0.022512545291594854
2121,554,Zappacosta,29.0,34.0,D,11.0,10.0,6.220588235294118,6.642857142857143,6.1869937050002575,-0.03359453029386028,0.4222689075630255,-0.45586343785688577
2221,581,Faraoni,29.0,32.0,D,13.0,13.0,6.484375,6.1521739130434785,6.323682901778295,-0.1606920982217046,-0.3322010869565215,0.1715089887348169
2317,612,Bianchetti,28.0,0.0,D,4.0,4.0,,5.6,5.7873182255033955,,,0.18731822550339583
2363,630,Sala,29.0,18.0,D,5.0,6.0,5.944444444444445,5.833333333333333,5.876741969513942,-0.06770247493050263,-0.1111111111111116,0.04340863618060897
2410,640,Chiriches,31.0,29.0,D,5.0,5.0,5.637931034482759,5.8125,5.818167661650474,0.18023662716771494,0.1745689655172411,0.005667661650473832
2501,660,Gyomber,29.0,31.0,D,4.0,4.0,5.580645161290323,5.944444444444445,5.789747180364104,0.20910201907378134,0.3637992831541217,-0.15469726408034035
2511,662,Alex Sandro,30.0,28.0,D,8.0,8.0,5.678571428571429,5.56,5.941705488026275,0.26313405945484636,-0.11857142857142922,0.3817054880262756
